session_id,participant_id,paradigm,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,tlx_composite
112,38,procedural,62.7,74.5,58.5,65.5,66.1,67.1,59.12
113,38,functional,41.7,45.0,33.2,47.0,41.6,37.0,39.8
114,38,object_oriented,49.5,63.2,46.6,48.1,46.5,44.4,50.7
115,39,functional,46.8,32.7,43.6,39.6,45.3,31.6,41.5
116,39,object_oriented,64.2,49.6,41.8,52.0,70.6,49.5,54.35
117,39,procedural,56.8,51.9,49.8,62.3,60.2,65.0,60.57
118,40,object_oriented,48.9,47.1,47.0,62.7,49.8,47.0,52.09
119,40,procedural,55.7,67.6,67.5,53.0,63.5,59.9,59.26
120,40,functional,45.2,48.4,41.6,42.5,44.0,47.4,39.69
121,41,procedural,63.9,65.1,70.4,62.9,59.3,70.5,59.44
122,41,functional,44.0,48.7,39.3,49.2,45.8,48.6,39.63
123,41,object_oriented,54.7,50.5,50.2,40.7,45.6,45.1,52.15
124,42,functional,57.1,37.0,37.2,42.9,42.5,40.2,41.52
125,42,object_oriented,56.8,52.1,62.5,50.3,52.4,45.6,52.3
126,42,procedural,64.4,63.9,57.3,69.0,66.8,62.8,60.25
127,43,object_oriented,51.1,62.2,52.5,45.4,55.7,55.1,51.3
128,43,procedural,65.0,55.8,53.5,59.3,67.2,59.1,61.27
129,43,functional,40.1,46.2,46.4,37.8,42.6,50.4,39.43
130,44,procedural,58.9,59.1,60.7,68.9,63.3,67.1,60.01
131,44,functional,38.2,43.1,36.6,44.5,47.1,38.6,40.07
132,44,object_oriented,58.3,54.3,57.0,49.3,41.5,49.7,51.53
133,45,functional,56.1,38.1,45.3,45.6,36.2,47.9,40.71
134,45,object_oriented,57.1,49.3,42.0,51.1,67.1,55.3,53.63
135,45,procedural,61.9,55.8,58.3,67.8,60.3,53.5,60.52
136,46,object_oriented,46.5,52.7,54.4,41.0,44.7,58.7,51.14
137,46,procedural,49.7,74.9,70.3,56.4,64.4,62.5,58.17
138,46,functional,48.7,37.1,44.5,45.7,35.5,47.1,40.31
139,47,procedural,53.8,63.3,62.5,55.5,59.8,64.2,59.27
140,47,functional,47.6,43.9,37.9,39.0,44.7,47.2,40.39
141,47,object_oriented,59.4,59.7,55.2,51.2,40.4,57.3,50.94
142,48,functional,54.2,36.3,47.7,46.0,39.9,51.8,40.91
143,48,object_oriented,43.1,45.0,43.6,49.7,55.1,51.2,52.4
144,48,procedural,58.1,72.0,74.7,74.7,59.1,68.7,58.26
145,49,object_oriented,46.2,44.6,57.7,43.3,51.7,53.6,52.29
146,49,procedural,66.4,64.1,72.6,78.8,51.1,64.4,59.02
147,49,functional,37.5,42.2,43.2,44.0,42.4,39.6,39.71
148,50,procedural,64.6,63.2,63.3,64.3,65.1,57.4,60.27
149,50,functional,46.6,40.6,35.6,46.3,26.1,34.4,39.52
150,50,object_oriented,41.8,44.9,59.7,46.3,55.1,55.8,52.11
