comment_id,session_id,paradigm,coder1_severity,coder1_type,coder1_action,coder2_severity,coder2_type,coder2_action
45,10,object_oriented,minor,bug,must_fix,minor,bug,must_fix
46,10,object_oriented,major,performance,should_fix,major,performance,should_fix
47,10,object_oriented,trivial,style,consider_fixing,trivial,style,consider_fixing
48,11,procedural,major,bug,consider_fixing,major,bug,consider_fixing
49,11,procedural,critical,documentation,must_fix,critical,documentation,must_fix
50,11,procedural,major,design,should_fix,critical,design,must_fix
51,11,procedural,critical,performance,should_fix,critical,performance,must_fix
52,12,functional,trivial,performance,ignore,trivial,performance,ignore
53,12,functional,minor,style,consider_fixing,major,style,should_fix
54,13,procedural,critical,bug,must_fix,critical,bug,must_fix
55,13,procedural,minor,design,should_fix,minor,design,should_fix
56,13,procedural,minor,style,should_fix,minor,performance,ignore
57,14,functional,trivial,performance,ignore,trivial,performance,ignore
58,14,functional,critical,design,must_fix,critical,bug,must_fix
59,14,functional,trivial,design,ignore,trivial,design,ignore
60,14,functional,minor,documentation,ignore,minor,documentation,consider_fixing
61,14,functional,major,documentation,should_fix,major,documentation,should_fix
62,15,object_oriented,minor,design,consider_fixing,minor,design,should_fix
63,15,object_oriented,minor,design,consider_fixing,minor,design,consider_fixing
64,15,object_oriented,trivial,bug,ignore,trivial,style,ignore
65,15,object_oriented,minor,bug,should_fix,minor,bug,should_fix
66,15,object_oriented,major,design,should_fix,major,design,should_fix
67,15,object_oriented,trivial,documentation,ignore,trivial,documentation,ignore
68,15,object_oriented,critical,bug,consider_fixing,critical,bug,consider_fixing
69,16,functional,trivial,bug,ignore,trivial,bug,ignore
70,16,functional,critical,design,must_fix,critical,style,must_fix
71,16,functional,major,design,should_fix,major,performance,should_fix
72,16,functional,minor,documentation,should_fix,trivial,documentation,should_fix
73,16,functional,trivial,style,ignore,trivial,style,ignore
74,17,object_oriented,critical,performance,must_fix,critical,performance,must_fix
75,17,object_oriented,major,design,consider_fixing,major,design,consider_fixing
76,17,object_oriented,minor,style,consider_fixing,minor,style,consider_fixing
77,17,object_oriented,critical,performance,must_fix,critical,performance,must_fix
78,17,object_oriented,trivial,performance,should_fix,trivial,performance,should_fix
79,17,object_oriented,minor,style,consider_fixing,minor,style,should_fix
80,17,object_oriented,minor,bug,consider_fixing,minor,bug,consider_fixing
81,18,procedural,critical,design,must_fix,critical,design,must_fix
82,18,procedural,major,documentation,should_fix,major,documentation,should_fix
83,19,object_oriented,trivial,bug,ignore,trivial,bug,ignore
84,19,object_oriented,major,performance,should_fix,major,performance,should_fix
85,19,object_oriented,minor,design,consider_fixing,minor,design,ignore
86,19,object_oriented,minor,performance,must_fix,major,performance,must_fix
87,19,object_oriented,major,bug,should_fix,major,bug,should_fix
88,19,object_oriented,trivial,documentation,consider_fixing,trivial,documentation,consider_fixing
89,20,procedural,critical,design,must_fix,critical,design,must_fix
90,20,procedural,major,documentation,should_fix,minor,documentation,should_fix
91,20,procedural,major,performance,should_fix,major,performance,should_fix
92,20,procedural,major,style,should_fix,major,style,should_fix
93,21,functional,major,performance,must_fix,major,performance,must_fix
94,21,functional,trivial,design,consider_fixing,trivial,design,consider_fixing
95,22,procedural,major,bug,should_fix,major,bug,should_fix
96,22,procedural,critical,performance,consider_fixing,critical,performance,consider_fixing
97,22,procedural,critical,bug,must_fix,critical,bug,must_fix
98,22,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
99,22,procedural,minor,style,consider_fixing,minor,style,consider_fixing
100,22,procedural,minor,documentation,consider_fixing,minor,design,should_fix
101,23,functional,major,style,should_fix,major,style,should_fix
102,23,functional,trivial,documentation,ignore,trivial,documentation,ignore
103,23,functional,minor,style,consider_fixing,minor,style,consider_fixing
104,24,object_oriented,trivial,bug,ignore,trivial,bug,ignore
105,24,object_oriented,major,bug,should_fix,major,bug,must_fix
106,24,object_oriented,critical,style,should_fix,critical,style,should_fix
107,25,functional,major,documentation,consider_fixing,major,documentation,consider_fixing
108,25,functional,minor,design,consider_fixing,minor,design,consider_fixing
109,25,functional,minor,performance,must_fix,minor,performance,must_fix
110,25,functional,minor,style,consider_fixing,major,style,consider_fixing
111,26,object_oriented,major,documentation,should_fix,critical,documentation,should_fix
112,26,object_oriented,trivial,design,ignore,trivial,design,ignore
113,26,object_oriented,major,documentation,must_fix,major,documentation,must_fix
114,26,object_oriented,trivial,design,ignore,trivial,performance,ignore
115,27,procedural,critical,performance,must_fix,critical,performance,must_fix
116,27,procedural,minor,design,consider_fixing,minor,design,consider_fixing
117,27,procedural,critical,design,must_fix,major,design,must_fix
118,27,procedural,critical,design,must_fix,critical,design,must_fix
119,27,procedural,major,bug,consider_fixing,major,bug,consider_fixing
120,28,object_oriented,minor,performance,consider_fixing,minor,performance,consider_fixing
121,28,object_oriented,minor,performance,should_fix,minor,performance,should_fix
122,28,object_oriented,major,performance,should_fix,major,design,should_fix
123,28,object_oriented,major,performance,should_fix,major,performance,should_fix
124,29,procedural,minor,documentation,ignore,minor,documentation,ignore
125,29,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
126,29,procedural,trivial,performance,ignore,trivial,performance,consider_fixing
127,29,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
128,29,procedural,major,style,should_fix,major,style,must_fix
129,29,procedural,critical,performance,must_fix,critical,performance,must_fix
130,30,functional,trivial,documentation,consider_fixing,trivial,documentation,ignore
131,30,functional,minor,design,consider_fixing,minor,design,consider_fixing
132,30,functional,critical,bug,must_fix,major,bug,must_fix
133,30,functional,major,performance,should_fix,major,performance,should_fix
134,31,procedural,trivial,bug,ignore,trivial,bug,ignore
135,31,procedural,critical,performance,should_fix,critical,performance,should_fix
136,31,procedural,minor,design,consider_fixing,minor,design,consider_fixing
137,31,procedural,major,bug,must_fix,trivial,design,must_fix
138,31,procedural,major,design,should_fix,major,design,should_fix
139,31,procedural,critical,bug,must_fix,critical,design,must_fix
140,31,procedural,critical,style,must_fix,critical,style,must_fix
141,32,functional,minor,style,should_fix,critical,style,should_fix
142,32,functional,trivial,style,ignore,trivial,documentation,ignore
143,32,functional,minor,design,consider_fixing,minor,design,ignore
144,32,functional,minor,documentation,should_fix,minor,documentation,should_fix
145,32,functional,minor,design,consider_fixing,minor,design,ignore
146,32,functional,trivial,performance,consider_fixing,trivial,performance,consider_fixing
147,32,functional,trivial,style,ignore,trivial,style,consider_fixing
148,32,functional,minor,style,consider_fixing,minor,style,consider_fixing
149,32,functional,minor,documentation,consider_fixing,minor,documentation,ignore
150,33,object_oriented,major,documentation,should_fix,trivial,documentation,should_fix
151,33,object_oriented,critical,style,must_fix,minor,style,must_fix
152,33,object_oriented,major,bug,should_fix,major,bug,should_fix
153,34,functional,trivial,design,ignore,trivial,design,ignore
154,34,functional,critical,documentation,must_fix,minor,documentation,must_fix
155,34,functional,minor,bug,must_fix,minor,bug,must_fix
156,34,functional,minor,design,consider_fixing,minor,style,should_fix
157,35,object_oriented,trivial,design,ignore,trivial,design,ignore
158,35,object_oriented,critical,documentation,must_fix,critical,documentation,must_fix
159,35,object_oriented,trivial,bug,consider_fixing,trivial,bug,should_fix
160,36,procedural,major,design,should_fix,major,design,should_fix
161,36,procedural,minor,performance,consider_fixing,major,performance,consider_fixing
162,36,procedural,critical,design,must_fix,critical,design,must_fix
163,36,procedural,critical,performance,must_fix,critical,performance,must_fix
164,37,object_oriented,minor,bug,consider_fixing,minor,bug,consider_fixing
165,37,object_oriented,major,performance,should_fix,major,performance,should_fix
166,37,object_oriented,trivial,documentation,ignore,trivial,documentation,ignore
167,37,object_oriented,minor,bug,should_fix,critical,bug,should_fix
168,37,object_oriented,minor,documentation,consider_fixing,minor,performance,consider_fixing
169,38,procedural,trivial,performance,ignore,trivial,performance,consider_fixing
170,38,procedural,minor,documentation,consider_fixing,minor,documentation,consider_fixing
171,39,functional,major,design,should_fix,critical,design,should_fix
172,39,functional,minor,design,ignore,minor,design,ignore
173,39,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
174,39,functional,minor,documentation,consider_fixing,minor,documentation,consider_fixing
175,39,functional,trivial,documentation,consider_fixing,trivial,documentation,consider_fixing
176,40,procedural,major,style,should_fix,major,style,should_fix
177,40,procedural,minor,design,consider_fixing,minor,design,consider_fixing
178,40,procedural,critical,performance,must_fix,major,performance,must_fix
179,40,procedural,minor,bug,ignore,minor,bug,ignore
180,40,procedural,major,style,should_fix,major,style,should_fix
181,40,procedural,critical,style,should_fix,critical,bug,should_fix
182,40,procedural,major,performance,should_fix,major,performance,should_fix
183,40,procedural,critical,design,must_fix,critical,design,must_fix
184,40,procedural,critical,bug,must_fix,critical,bug,must_fix
185,40,procedural,trivial,documentation,should_fix,trivial,design,should_fix
186,41,functional,trivial,performance,ignore,trivial,performance,ignore
187,41,functional,minor,style,consider_fixing,minor,style,consider_fixing
188,41,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
189,41,functional,critical,performance,must_fix,critical,performance,must_fix
190,41,functional,minor,design,should_fix,minor,design,should_fix
191,42,object_oriented,minor,design,consider_fixing,minor,design,consider_fixing
192,42,object_oriented,major,documentation,must_fix,major,documentation,must_fix
193,42,object_oriented,minor,documentation,should_fix,minor,documentation,should_fix
194,42,object_oriented,minor,documentation,must_fix,minor,documentation,must_fix
195,42,object_oriented,minor,documentation,consider_fixing,minor,documentation,consider_fixing
196,43,functional,trivial,design,ignore,trivial,design,ignore
197,43,functional,minor,design,consider_fixing,minor,design,consider_fixing
198,43,functional,major,documentation,must_fix,major,documentation,must_fix
199,43,functional,trivial,bug,ignore,trivial,bug,ignore
200,43,functional,major,performance,should_fix,minor,performance,should_fix
201,43,functional,trivial,style,ignore,trivial,style,ignore
202,43,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
203,44,object_oriented,minor,design,consider_fixing,critical,design,consider_fixing
204,44,object_oriented,critical,style,must_fix,critical,performance,must_fix
205,44,object_oriented,critical,style,must_fix,critical,style,must_fix
206,44,object_oriented,major,performance,should_fix,major,performance,should_fix
207,44,object_oriented,major,documentation,should_fix,major,documentation,must_fix
208,45,procedural,critical,bug,must_fix,critical,design,must_fix
209,45,procedural,minor,design,consider_fixing,minor,design,consider_fixing
210,45,procedural,major,style,should_fix,major,style,should_fix
211,45,procedural,minor,design,consider_fixing,trivial,design,ignore
212,45,procedural,minor,design,must_fix,minor,design,must_fix
213,45,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
214,45,procedural,major,bug,should_fix,major,bug,should_fix
215,46,object_oriented,minor,style,consider_fixing,minor,design,consider_fixing
216,46,object_oriented,minor,design,consider_fixing,minor,design,consider_fixing
217,46,object_oriented,minor,performance,consider_fixing,trivial,performance,consider_fixing
218,47,procedural,major,documentation,should_fix,major,documentation,should_fix
219,47,procedural,major,performance,should_fix,critical,performance,should_fix
220,47,procedural,minor,design,consider_fixing,minor,bug,consider_fixing
221,48,functional,trivial,design,ignore,trivial,design,ignore
222,48,functional,minor,style,should_fix,trivial,style,should_fix
223,48,functional,minor,documentation,consider_fixing,minor,documentation,consider_fixing
224,48,functional,major,style,should_fix,major,style,should_fix
225,48,functional,critical,performance,must_fix,critical,design,must_fix
226,48,functional,major,bug,must_fix,major,style,must_fix
227,49,procedural,major,style,should_fix,major,style,must_fix
228,49,procedural,minor,bug,consider_fixing,major,bug,consider_fixing
229,49,procedural,major,performance,should_fix,major,performance,should_fix
230,49,procedural,critical,style,must_fix,critical,style,must_fix
231,50,functional,trivial,style,ignore,trivial,style,ignore
232,50,functional,trivial,design,ignore,trivial,bug,ignore
233,50,functional,major,bug,should_fix,major,bug,should_fix
234,50,functional,major,documentation,should_fix,major,documentation,should_fix
235,51,object_oriented,critical,bug,must_fix,critical,bug,must_fix
236,51,object_oriented,minor,bug,consider_fixing,trivial,bug,consider_fixing
237,52,functional,critical,style,must_fix,critical,style,should_fix
238,52,functional,minor,performance,should_fix,minor,design,should_fix
239,53,object_oriented,major,documentation,should_fix,major,documentation,should_fix
240,53,object_oriented,trivial,documentation,consider_fixing,trivial,documentation,consider_fixing
241,53,object_oriented,minor,style,consider_fixing,minor,style,consider_fixing
242,54,procedural,major,bug,should_fix,major,bug,should_fix
243,54,procedural,critical,performance,should_fix,critical,performance,should_fix
244,54,procedural,minor,documentation,consider_fixing,minor,documentation,consider_fixing
245,54,procedural,minor,design,must_fix,minor,design,must_fix
246,55,object_oriented,minor,design,consider_fixing,minor,design,consider_fixing
247,55,object_oriented,critical,design,must_fix,critical,bug,must_fix
248,55,object_oriented,trivial,documentation,ignore,trivial,documentation,ignore
249,55,object_oriented,minor,design,consider_fixing,minor,design,consider_fixing
250,55,object_oriented,critical,documentation,must_fix,critical,documentation,must_fix
251,55,object_oriented,minor,documentation,consider_fixing,minor,documentation,should_fix
252,56,procedural,major,design,consider_fixing,major,design,consider_fixing
253,56,procedural,major,design,should_fix,major,design,should_fix
254,56,procedural,critical,style,consider_fixing,critical,style,consider_fixing
255,56,procedural,critical,style,should_fix,critical,style,should_fix
256,57,functional,major,design,should_fix,major,design,should_fix
257,57,functional,trivial,performance,ignore,trivial,performance,ignore
258,57,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
259,57,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
260,57,functional,trivial,design,ignore,trivial,design,ignore
261,58,procedural,minor,design,consider_fixing,minor,design,consider_fixing
262,58,procedural,major,performance,should_fix,major,performance,should_fix
263,58,procedural,major,style,must_fix,major,design,must_fix
264,58,procedural,critical,style,must_fix,critical,style,must_fix
265,59,functional,minor,design,consider_fixing,minor,design,consider_fixing
266,59,functional,trivial,documentation,ignore,trivial,documentation,ignore
267,59,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
268,59,functional,trivial,performance,ignore,trivial,performance,ignore
269,59,functional,minor,documentation,consider_fixing,minor,documentation,consider_fixing
270,60,object_oriented,major,style,consider_fixing,critical,style,consider_fixing
271,60,object_oriented,major,bug,should_fix,critical,bug,should_fix
272,60,object_oriented,major,documentation,should_fix,major,documentation,should_fix
273,60,object_oriented,minor,bug,consider_fixing,minor,bug,ignore
274,60,object_oriented,major,bug,should_fix,major,bug,should_fix
275,60,object_oriented,major,documentation,should_fix,major,documentation,should_fix
276,60,object_oriented,trivial,bug,consider_fixing,trivial,style,consider_fixing
277,60,object_oriented,minor,design,consider_fixing,minor,design,should_fix
278,61,functional,minor,documentation,consider_fixing,minor,documentation,consider_fixing
279,61,functional,critical,bug,must_fix,critical,bug,should_fix
280,61,functional,minor,documentation,consider_fixing,trivial,performance,consider_fixing
281,61,functional,major,design,must_fix,major,performance,must_fix
282,62,object_oriented,critical,design,must_fix,critical,design,must_fix
283,62,object_oriented,major,design,consider_fixing,critical,design,consider_fixing
284,63,procedural,major,design,should_fix,critical,design,should_fix
285,63,procedural,major,bug,should_fix,major,bug,should_fix
286,64,object_oriented,major,documentation,should_fix,major,bug,should_fix
287,64,object_oriented,minor,bug,consider_fixing,minor,bug,consider_fixing
288,64,object_oriented,major,documentation,should_fix,major,documentation,should_fix
289,65,procedural,major,bug,should_fix,major,bug,should_fix
290,65,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
291,65,procedural,minor,documentation,consider_fixing,minor,documentation,consider_fixing
292,65,procedural,critical,documentation,must_fix,critical,documentation,must_fix
293,65,procedural,critical,bug,must_fix,critical,bug,must_fix
294,65,procedural,trivial,bug,ignore,trivial,bug,ignore
295,66,functional,major,performance,should_fix,major,performance,should_fix
296,66,functional,critical,documentation,must_fix,critical,documentation,should_fix
297,66,functional,trivial,design,ignore,trivial,design,ignore
298,66,functional,major,bug,should_fix,major,bug,should_fix
299,67,procedural,critical,style,must_fix,major,bug,must_fix
300,67,procedural,minor,design,consider_fixing,major,design,consider_fixing
301,67,procedural,critical,bug,must_fix,critical,bug,must_fix
302,68,functional,major,design,should_fix,minor,design,should_fix
303,68,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
304,68,functional,minor,documentation,consider_fixing,minor,documentation,consider_fixing
305,68,functional,minor,documentation,should_fix,minor,documentation,should_fix
306,69,object_oriented,critical,design,must_fix,major,design,must_fix
307,69,object_oriented,major,style,should_fix,major,style,should_fix
308,69,object_oriented,critical,bug,must_fix,critical,bug,must_fix
309,70,functional,major,design,should_fix,major,design,should_fix
310,70,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
311,70,functional,trivial,style,ignore,trivial,style,ignore
312,70,functional,critical,bug,must_fix,minor,bug,must_fix
313,70,functional,trivial,documentation,ignore,trivial,documentation,consider_fixing
314,70,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
315,70,functional,trivial,bug,ignore,trivial,bug,ignore
316,70,functional,major,documentation,must_fix,major,documentation,must_fix
317,71,object_oriented,minor,performance,consider_fixing,major,performance,consider_fixing
318,71,object_oriented,critical,performance,must_fix,trivial,performance,must_fix
319,71,object_oriented,critical,performance,must_fix,critical,performance,must_fix
320,71,object_oriented,critical,performance,must_fix,critical,performance,must_fix
321,72,procedural,minor,design,consider_fixing,minor,design,consider_fixing
322,72,procedural,trivial,bug,ignore,trivial,bug,ignore
323,72,procedural,major,design,should_fix,minor,design,should_fix
324,72,procedural,critical,performance,must_fix,critical,style,must_fix
325,72,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
326,72,procedural,minor,documentation,consider_fixing,minor,documentation,consider_fixing
327,72,procedural,major,bug,should_fix,major,bug,should_fix
328,72,procedural,major,design,should_fix,critical,design,should_fix
329,73,object_oriented,minor,performance,consider_fixing,minor,performance,consider_fixing
330,73,object_oriented,major,design,must_fix,major,design,must_fix
331,73,object_oriented,major,performance,should_fix,major,performance,consider_fixing
332,73,object_oriented,critical,documentation,must_fix,critical,documentation,must_fix
333,74,procedural,critical,bug,must_fix,critical,bug,must_fix
334,74,procedural,critical,style,must_fix,critical,style,must_fix
335,74,procedural,critical,style,must_fix,critical,style,must_fix
336,74,procedural,critical,bug,consider_fixing,critical,bug,ignore
337,75,functional,major,documentation,must_fix,major,documentation,must_fix
338,75,functional,major,documentation,consider_fixing,minor,documentation,consider_fixing
339,76,procedural,minor,bug,should_fix,minor,bug,should_fix
340,76,procedural,critical,documentation,consider_fixing,critical,documentation,should_fix
341,76,procedural,minor,documentation,consider_fixing,minor,documentation,consider_fixing
342,77,functional,minor,performance,should_fix,minor,performance,should_fix
343,77,functional,minor,style,ignore,minor,style,ignore
344,77,functional,major,design,must_fix,major,design,must_fix
345,77,functional,minor,bug,consider_fixing,minor,bug,consider_fixing
346,77,functional,trivial,style,should_fix,trivial,style,should_fix
347,77,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
348,77,functional,minor,performance,should_fix,minor,performance,should_fix
349,77,functional,minor,design,consider_fixing,minor,design,consider_fixing
350,78,object_oriented,minor,design,consider_fixing,minor,style,ignore
351,78,object_oriented,trivial,design,ignore,trivial,design,ignore
352,78,object_oriented,major,style,must_fix,major,style,should_fix
353,78,object_oriented,critical,bug,must_fix,critical,bug,must_fix
354,78,object_oriented,major,design,should_fix,major,style,should_fix
355,78,object_oriented,minor,bug,consider_fixing,minor,style,consider_fixing
356,79,functional,minor,performance,consider_fixing,minor,performance,consider_fixing
357,79,functional,trivial,style,ignore,trivial,style,ignore
358,79,functional,critical,bug,must_fix,critical,bug,must_fix
359,79,functional,major,bug,should_fix,minor,bug,should_fix
360,79,functional,trivial,performance,ignore,trivial,performance,ignore
361,79,functional,major,performance,should_fix,major,performance,should_fix
362,80,object_oriented,minor,documentation,consider_fixing,minor,documentation,consider_fixing
363,80,object_oriented,major,bug,should_fix,major,bug,should_fix
364,80,object_oriented,major,performance,should_fix,major,performance,consider_fixing
365,80,object_oriented,critical,bug,must_fix,critical,bug,must_fix
366,80,object_oriented,critical,documentation,must_fix,critical,documentation,should_fix
367,80,object_oriented,trivial,documentation,ignore,trivial,documentation,consider_fixing
368,80,object_oriented,major,design,should_fix,major,design,should_fix
369,80,object_oriented,major,style,should_fix,major,style,should_fix
370,80,object_oriented,major,documentation,should_fix,major,documentation,should_fix
371,81,procedural,major,bug,should_fix,major,bug,should_fix
372,81,procedural,critical,documentation,must_fix,major,documentation,must_fix
373,81,procedural,minor,documentation,consider_fixing,minor,documentation,should_fix
374,81,procedural,major,design,should_fix,major,design,should_fix
375,82,object_oriented,minor,documentation,ignore,minor,documentation,consider_fixing
376,82,object_oriented,major,design,must_fix,major,design,must_fix
377,82,object_oriented,minor,design,consider_fixing,minor,design,consider_fixing
378,83,procedural,major,bug,should_fix,major,bug,ignore
379,83,procedural,major,performance,should_fix,major,performance,should_fix
380,83,procedural,critical,bug,must_fix,critical,bug,must_fix
381,83,procedural,minor,performance,consider_fixing,minor,performance,consider_fixing
382,83,procedural,major,performance,should_fix,major,performance,should_fix
383,83,procedural,critical,design,must_fix,critical,design,must_fix
384,83,procedural,critical,bug,should_fix,critical,bug,should_fix
385,83,procedural,minor,style,consider_fixing,minor,style,consider_fixing
386,84,functional,trivial,design,ignore,trivial,design,ignore
387,84,functional,major,style,should_fix,major,style,should_fix
388,84,functional,trivial,style,ignore,trivial,style,ignore
389,85,procedural,critical,bug,should_fix,critical,design,should_fix
390,85,procedural,minor,performance,consider_fixing,minor,performance,consider_fixing
391,86,functional,trivial,bug,ignore,minor,style,ignore
392,86,functional,minor,design,must_fix,minor,design,must_fix
393,87,object_oriented,trivial,documentation,ignore,minor,documentation,ignore
394,87,object_oriented,trivial,documentation,ignore,trivial,documentation,ignore
395,87,object_oriented,major,design,should_fix,major,design,should_fix
396,87,object_oriented,minor,documentation,consider_fixing,minor,documentation,consider_fixing
397,87,object_oriented,major,design,should_fix,major,design,should_fix
398,87,object_oriented,critical,performance,should_fix,major,performance,should_fix
399,87,object_oriented,minor,style,consider_fixing,minor,style,consider_fixing
400,88,functional,trivial,bug,ignore,trivial,bug,ignore
401,88,functional,trivial,documentation,ignore,trivial,documentation,ignore
402,88,functional,trivial,style,consider_fixing,trivial,bug,ignore
403,88,functional,minor,performance,consider_fixing,minor,performance,should_fix
404,88,functional,critical,performance,must_fix,critical,performance,must_fix
405,89,object_oriented,critical,performance,must_fix,critical,performance,must_fix
406,89,object_oriented,trivial,documentation,ignore,trivial,documentation,ignore
407,89,object_oriented,major,style,consider_fixing,major,style,consider_fixing
408,89,object_oriented,trivial,performance,ignore,trivial,performance,ignore
409,89,object_oriented,minor,performance,consider_fixing,minor,performance,consider_fixing
410,89,object_oriented,minor,bug,should_fix,minor,bug,should_fix
411,90,procedural,critical,design,consider_fixing,critical,design,consider_fixing
412,90,procedural,trivial,bug,ignore,trivial,bug,ignore
413,90,procedural,critical,bug,should_fix,critical,style,should_fix
414,90,procedural,major,style,should_fix,major,style,should_fix
415,90,procedural,major,style,should_fix,critical,style,should_fix
416,91,object_oriented,trivial,design,consider_fixing,trivial,design,consider_fixing
417,91,object_oriented,critical,performance,must_fix,critical,performance,must_fix
418,91,object_oriented,minor,style,ignore,minor,style,ignore
419,91,object_oriented,critical,style,must_fix,major,style,must_fix
420,91,object_oriented,critical,documentation,must_fix,critical,documentation,should_fix
421,91,object_oriented,major,bug,should_fix,minor,bug,should_fix
422,91,object_oriented,critical,performance,must_fix,critical,performance,must_fix
423,91,object_oriented,major,bug,should_fix,major,bug,must_fix
424,91,object_oriented,trivial,style,ignore,trivial,style,ignore
425,92,procedural,critical,style,must_fix,critical,style,must_fix
426,92,procedural,critical,style,must_fix,trivial,style,must_fix
427,92,procedural,major,style,should_fix,major,design,should_fix
428,92,procedural,critical,bug,must_fix,critical,bug,must_fix
429,93,functional,trivial,performance,consider_fixing,trivial,performance,consider_fixing
430,93,functional,minor,design,should_fix,minor,style,should_fix
431,93,functional,trivial,style,consider_fixing,trivial,style,consider_fixing
432,93,functional,trivial,design,ignore,trivial,design,ignore
433,93,functional,trivial,documentation,ignore,trivial,documentation,ignore
434,94,procedural,minor,bug,consider_fixing,minor,bug,consider_fixing
435,94,procedural,minor,performance,should_fix,minor,performance,must_fix
436,94,procedural,critical,documentation,must_fix,critical,documentation,must_fix
437,94,procedural,critical,documentation,must_fix,critical,documentation,must_fix
438,94,procedural,critical,style,consider_fixing,critical,style,consider_fixing
439,94,procedural,trivial,design,ignore,minor,design,ignore
440,94,procedural,major,documentation,should_fix,major,documentation,should_fix
441,95,functional,critical,documentation,must_fix,critical,documentation,must_fix
442,95,functional,minor,documentation,consider_fixing,minor,performance,consider_fixing
443,95,functional,trivial,documentation,ignore,trivial,documentation,ignore
444,96,object_oriented,critical,style,must_fix,critical,style,must_fix
445,96,object_oriented,major,style,should_fix,major,style,should_fix
446,96,object_oriented,minor,performance,consider_fixing,major,performance,consider_fixing
447,96,object_oriented,minor,bug,consider_fixing,minor,bug,consider_fixing
448,96,object_oriented,trivial,design,ignore,trivial,design,ignore
449,96,object_oriented,minor,documentation,should_fix,major,documentation,should_fix
450,96,object_oriented,critical,performance,must_fix,critical,performance,must_fix
451,96,object_oriented,trivial,design,ignore,trivial,bug,ignore
452,97,functional,minor,performance,should_fix,minor,performance,should_fix
453,97,functional,minor,style,should_fix,major,design,should_fix
