session_id,participant_id,paradigm,fixation_count,saccade_count,blink_count,mean_pupil_diameter_mm,pupil_variability
65,22,procedural,1374,1439,12,4.28,0.296
66,22,functional,965,835,13,3.82,0.289
67,23,procedural,1483,1506,14,4.27,0.109
68,23,functional,634,700,18,3.58,0.209
69,23,object_oriented,1023,1047,19,3.76,0.28
70,24,functional,743,890,12,3.92,0.232
71,24,object_oriented,1095,1094,14,3.92,0.192
72,24,procedural,1095,1181,26,5.08,0.271
73,25,object_oriented,935,834,13,4.55,0.292
74,25,procedural,1355,1410,13,4.75,0.261
75,25,functional,857,962,9,3.4,0.181
76,26,procedural,1905,1890,15,4.06,0.107
77,26,functional,839,763,11,3.6,0.183
78,26,object_oriented,923,1091,9,4.45,0.145
79,27,functional,1064,1090,11,3.64,0.268
80,27,object_oriented,1015,1178,19,3.83,0.253
81,27,procedural,983,886,12,4.68,0.107
82,28,object_oriented,832,763,20,4.67,0.119
83,28,procedural,1418,1334,19,4.87,0.193
84,28,functional,828,843,12,4.0,0.112
85,29,procedural,1506,1325,10,4.29,0.187
86,29,functional,774,845,13,3.51,0.252
87,29,object_oriented,1184,1334,10,4.28,0.125
88,30,functional,674,744,12,3.66,0.176
89,30,object_oriented,1285,1038,10,4.03,0.154
90,30,procedural,1189,1123,22,5.45,0.126
91,31,object_oriented,1279,1385,13,4.3,0.136
92,31,procedural,1171,951,5,4.95,0.143
93,31,functional,729,617,15,3.94,0.187
94,32,procedural,897,890,14,4.78,0.281
95,32,functional,882,922,16,3.7,0.212
96,32,object_oriented,1346,1364,14,4.2,0.162
97,33,functional,717,849,9,3.79,0.262
98,33,object_oriented,1216,1126,19,4.7,0.114
99,33,procedural,1329,1515,10,4.53,0.137
100,34,object_oriented,1041,912,13,4.12,0.186
101,34,procedural,1299,1167,12,4.95,0.167
102,34,functional,784,691,15,3.86,0.123
103,35,procedural,1375,1430,28,4.84,0.21
104,35,functional,855,748,13,3.92,0.204
105,35,object_oriented,1077,1084,18,3.96,0.21
106,36,functional,745,773,5,3.93,0.239
107,36,object_oriented,910,929,15,4.17,0.175
108,36,procedural,939,1003,15,5.39,0.15
109,37,object_oriented,1028,1074,15,3.86,0.11
110,37,procedural,990,1162,10,5.17,0.223
111,37,functional,743,792,12,4.01,0.165
112,38,procedural,1315,1481,14,4.71,0.299
113,38,functional,883,943,14,3.34,0.231
114,38,object_oriented,896,793,15,3.57,0.174
115,39,functional,947,902,12,3.7,0.257
116,39,object_oriented,1102,993,18,3.36,0.141
117,39,procedural,1138,1304,13,5.0,0.228
118,40,object_oriented,1049,1063,9,4.63,0.184
119,40,procedural,1531,1591,9,4.6,0.182
120,40,functional,789,697,10,3.79,0.102
121,41,procedural,1388,1172,14,4.54,0.289
122,41,functional,959,1084,11,4.09,0.102
123,41,object_oriented,1033,1055,10,4.46,0.115
124,42,functional,864,765,13,3.84,0.154
125,42,object_oriented,933,1083,12,3.83,0.259
126,42,procedural,1189,1170,13,4.9,0.159
127,43,object_oriented,684,744,13,3.84,0.186
128,43,procedural,1366,1383,18,4.75,0.208
129,43,functional,723,790,17,3.26,0.227
130,44,procedural,1067,944,12,4.68,0.149
131,44,functional,739,812,11,3.43,0.274
132,44,object_oriented,916,1008,10,4.78,0.209
133,45,functional,804,947,14,3.82,0.287
134,45,object_oriented,1105,1110,8,4.18,0.236
135,45,procedural,1350,1542,16,5.09,0.277
136,46,object_oriented,1164,1341,16,3.88,0.251
137,46,procedural,1449,1277,8,4.56,0.206
138,46,functional,1019,980,12,3.81,0.182
139,47,procedural,1081,882,14,4.35,0.249
140,47,functional,869,1036,11,4.16,0.298
141,47,object_oriented,1039,860,16,4.01,0.241
142,48,functional,664,543,11,3.38,0.268
143,48,object_oriented,1277,1070,8,3.73,0.216
144,48,procedural,1519,1531,12,3.79,0.252
145,49,object_oriented,923,982,12,4.71,0.132
146,49,procedural,1369,1332,14,4.06,0.161
147,49,functional,1059,1010,13,3.6,0.22
148,50,procedural,1426,1459,15,4.92,0.189
149,50,functional,922,896,12,3.78,0.227
150,50,object_oriented,921,931,19,4.45,0.156
